Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.7-192.168.0.174-61913-3389-17,192.168.0.7,61913,192.168.0.174,3389,17,07/07/2017 09:00:00,2021577,37,5,659.7508,946.8487,21643,271,791.5107,55461,987,317.6973,4374.107258187151,97.45509743166444,808.9441,364.9655,26365,730,311.7163,1492.724,48944,448,899.6141,677.2292,1,1,0,2,21.0343,553.9215,588.4401,7.1908,724,7716,343.4127,452.71,42981.77,2,0,0,2,4,4,1,2,668.9778,214.2368,198.4678,1403.2714,856.5646,709.0065,1176.9291,1211.2455,285.6149,145.3962,431.0512,55519,411.1023,7100,12899,7944,402.6213,339.3026,1292.5088,124.3282,24931,549,672.9203,210.9408,36509,473,BENIGN
192.168.1.36-192.168.1.179-53978-25-6,192.168.1.36,53978,192.168.1.179,25,6,07/07/2017 09:00:00,4535780,1,5,213.7473,401.0403,7685,168,568.4597,51173,271,1389.7771,46325.71245210557,169.81479901565393,1177.694,142.6246,63788,158,189.8979,326.5513,7665,593,735.7372,91.4364,2,0,0,4,476.7885,919.3871,531.1261,56.8796,520,10500,1277.0138,34.2607,3398.0432,1,0,1,7,15,3,0,4,246.2153,594.5192,929.0723,628.8374,875.5084,784.1741,1402.0594,306.3888,1074.2877,358.0289,395.7858,39321,457.2246,9508,1220,60068,621.1593,562.9936,149.9719,268.8172,34760,135,1399.8891,440.4321,32018,378,BENIGN
192.168.1.179-192.168.1.246-47131-23-0,192.168.1.179,47131,192.168.1.246,23,0,07/07/2017 09:00:03,4438076,1,35,742.4167,155.4479,36930,619,315.9445,44942,208,1031.2457,15038.999734778898,132.84604863573242,1279.3692,252.7045,32914,927,908.159,76.1983,55518,849,276.6802,5.3185,1,5,2,1,741.2309,551.6804,427.6869,9.6697,77,19536,818.3854,417.2975,29125.4783,1,0,1,1,3,3,1,0,308.2583,898.9815,1194.1835,1291.0539,1348.387,315.1148,374.2946,154.1904,1170.1744,1326.2021,406.3774,20257,925.7638,31029,21299,23206,881.4162,24.7864,1104.8467,166.0927,53964,821,1004.8607,367.5288,32527,273,BENIGN
192.168.0.174-192.168.2.208-58182-80-17,192.168.0.174,58182,192.168.2.208,80,17,07/07/2017 09:00:01,3862303,23,19,328.262,864.3529,36585,359,962.2226,52386,695,1471.7245,41044.76541048094,174.32894565467012,804.3236,469.6186,15118,898,970.4006,267.8517,34795,39,108.4025,651.8456,5,2,3,4,984.2358,115.6458,899.5047,190.0788,45,57154,2.5369,462.7876,26922.5999,0,0,5,3,12,5,5,5,197.0351,431.2974,1423.3117,1381.1563,934.7331,995.0812,186.938,1350.0703,760.6838,1000.3394,326.1829,38752,554.4125,25144,55108,49695,677.3179,902.8055,923.2724,150.4749,53,311,430.3706,214.9441,42237,476,BENIGN
192.168.0.24-192.168.2.40-32034-22-0,192.168.0.24,32034,192.168.2.40,22,0,07/07/2017 09:00:00,4324924,43,40,806.5629,147.354,6057,250,1475.904,9545,466,621.6615,31001.114187582538,19.130746415074753,944.6481,97.2176,50328,506,399.6529,221.357,726,914,750.9645,1155.0693,0,3,1,1,804.1099,695.9118,464.5499,557.4058,939,15906,684.6927,400.7083,33378.8866,2,0,4,4,7,4,2,3,612.6523,719.274,757.1672,1245.8538,821.8079,1345.8122,1115.4832,712.0117,388.7873,370.8596,637.6614,63517,626.7484,35992,57654,10155,713.5449,234.4936,503.7713,446.5134,10561,141,226.246,191.5176,20028,723,BENIGN
192.168.0.195-192.168.0.195-22708-25-17,192.168.0.195,22708,192.168.0.195,25,17,07/07/2017 09:00:04,1736052,27,24,5.8961,351.7588,51116,873,1337.4623,54921,551,1121.2735,45251.44006917483,117.02384313374291,819.1985,301.6263,28906,499,219.4216,653.754,3804,398,336.1295,1018.7128,3,5,1,3,919.5416,980.722,534.1236,906.9289,606,3552,125.9212,214.3064,43342.5678,0,2,1,6,15,0,2,3,327.3527,454.6993,506.2508,1319.46,417.3849,1426.8062,632.3472,1252.3664,705.4603,1123.5364,52.0856,45870,224.2222,8993,5276,4067,949.6117,199.3607,30.57,76.1912,16544,484,1004.1883,281.9848,28569,476,BENIGN
185.58.136.197-192.168.3.151-12020-443-6,185.58.136.197,12020,192.168.3.151,443,6,07/07/2017 09:00:11,56674,4840,0,941.4706,198.3298,31830,104,1045.7895,39529,870,1026.3886,4647991.483615252,29001.9380564145,1208.2919,398.1136,5383,355,532.7452,992.282,9038,518,647.5433,18.9782,3,3,0,3,960.7876,635.5851,828.7073,707.3086,445,23086,1100.693,482.7369,13504.1198,0,929,4,3,3,3,3,3,825.7346,592.4746,483.4569,368.2428,1401.9328,418.3924,676.203,1125.7144,854.7745,1002.2827,336.3966,64789,850.9528,23834,63904,27802,354.825,258.3524,419.4877,298.0775,36211,569,15.2267,474.0313,11221,247,DDoS
168.255.202.227-192.168.1.246-50711-21-0,168.255.202.227,50711,192.168.1.246,21,0,07/07/2017 09:00:06,373210,4120,7,243.3052,663.96,48368,484,830.2094,45056,435,1494.9472,3975017.697254971,5106.140852456248,825.5827,175.9053,59473,277,306.623,345.8071,25242,323,119.5547,803.7959,5,1,1,1,738.6047,276.4996,589.5869,760.2079,611,37093,1470.7659,416.3142,14812.3232,0,226,2,3,5,1,2,0,708.0185,126.583,68.2736,81.789,438.205,1416.1344,956.8045,1129.1883,153.8815,18.3981,284.3393,62746,440.4688,24164,6734,33092,941.0636,477.7292,1233.1735,200.3537,9710,590,944.1686,26.8045,19555,830,DoS GoldenEye
175.36.87.137-192.168.1.36-17289-443-0,175.36.87.137,17289,192.168.1.36,443,0,07/07/2017 09:00:12,620,3,0,860.1667,990.0313,40026,582,931.541,13006,970,1144.1057,775.6935396982173,3865.742458850839,938.2725,132.3231,10641,160,239.8652,827.9884,20517,2,408.5176,1034.0567,3,2,0,1,288.1049,282.7184,859.6067,71.1798,239,34675,1181.742,312.529,33059.1521,0,2,1,0,1,3,0,4,224.8095,148.9894,398.4487,213.3544,89.4571,1188.9428,892.5661,1236.3605,1381.7888,658.7302,468.698,39857,699.7337,35683,64722,57377,80.4419,39.8608,648.043,161.1608,32816,26,136.9903,480.9556,2719,783,PortScan
91.107.136.180-192.168.2.27-3660-22-17,91.107.136.180,3660,192.168.2.27,22,17,07/07/2017 09:00:09,231855,2378,2,470.0104,408.3481,42081,686,156.8998,21079,337,617.4676,4984880.100916189,22076.30686031165,743.2035,331.2918,52488,833,760.4998,55.0457,11542,322,252.3989,173.8824,3,4,0,5,869.3675,461.9763,54.2041,518.4394,637,65338,938.1131,379.9953,10177.9119,0,833,4,3,0,1,2,3,880.8466,484.7118,43.3042,945.0334,1198.9706,1064.6742,466.1252,20.5117,611.986,337.051,841.4057,14871,461.4479,15396,20181,65323,932.6531,291.8616,1058.1174,207.7452,63242,483,365.5964,275.6325,50277,195,DDoS
